Probability,Original Question,Spelling Mistake,Corrected Phrase,Score,Time (ms)
1,"Which lectures are there on Tuesday at 9:00","Which lectures are there on Tuesday at 9:00","which lectures are there on tuesday at 9:00",100,155
1,"What lecture do I have with Dr. Lee at 1:00","What lecture do I have with Dr. Lee at 1:00","what lecture do i have with dr. lee at 1:00",100,44
1,"What is the weather like in Miami","What is the weather like in Miami","what is the weather like in miami",100,36
1,"What temperature is it in Los Angeles","What temperature is it in Los Angeles","what temperature is it in los angeles",100,37
1,"Is it raining in New York","Is it raiving in New York","is it raining in new york",100,27
1,"Is it snowing in Houston","Is it snowing in Houston","is it snowing in houston",100,33
1,"Which lectures are there on Tuesday at 9:00","Which lectures are there on Tuesday at 9:00","which lectures are there on tuesday at 9:00",100,47
1,"What lecture do I have with Dr. Lee at 1:00","What lecture do I have with Dr. Lee at 1:00","what lecture do i have with dr. lee at 1:00",100,36
1,"What is the weather like in Miami","What is the weatherplike in Mcami","what is the weather in miami",60,23
1,"What temperature is it in Los Angeles","What temperature is it in Los Angeles","what temperature is it in los angeles",100,20
2,"Which lectures are there on Tuesday at 9:00","Which lectures are there on Tuesday at 9:00","which lectures are there on tuesday at 9:00",100,21
2,"What lecture do I have with Dr. Lee at 1:00","What lecture do I have with Dr. Lee at 1:00","what lecture do i have with dr. lee at 1:00",100,92
2,"What is the weather like in Miami","What is the weaxhej lnke in Miami","what is the weather like in miami",100,47
2,"What temperature is it in Los Angeles","What temperature is it in Los ungeles","what temperature is it in los angeles",100,27
2,"Is it raining in New York","Is it raining in New York","is it raining in new york",100,14
2,"Is it snowing in Houston","Is it snowing in Houston","is it snowing in houston",100,13
2,"Which lectures are there on Tuesday at 9:00","Which lectures are there on Tuesday at 9:00","which lectures are there on tuesday at 9:00",100,21
2,"What lecture do I have with Dr. Lee at 1:00","What lecture do I have wnth Dr. Lee at 1:00","what lecture do i have with dr. lee at 1:00",100,34
2,"What is the weather like in Miami","Wxat is the weather lgke in Miami","what is the weather like in miami",100,25
2,"What temperature is it in Los Angeles","What temperature is itgin Los Angeles","what temperature is in los angeles",59,21
3,"Which lectures are there on Tuesday at 9:00","Which lectures are there on Tuosday at 9:00","which lectures are there on tuesday at 9:00",100,24
3,"What lecture do I have with Dr. Lee at 1:00","What lecture do I have witc Dr. Lee at 1:00","what lecture do i have with dr. lee at 1:00",100,23
3,"What is the weather like in Miami","What is the weatherclike in Minmi","what is the weather in mini",60,27
3,"What temperature is it in Los Angeles","What temperature is it in Los Angeles","what temperature is it in los angeles",100,27
3,"Is it raining in New York","Is itkraibdng in New York","is training in new york",24,18
3,"Is it snowing in Houston","Is it snowing in Houston","is it snowing in houston",100,15
3,"Which lectures are there on Tuesday at 9:00","Which lectures adf there on Tuesday at 9:b0","which lectures adds there on tuesday at 9:00",39,21
3,"What lecture do I have with Dr. Lee at 1:00","What lecture do I nave with Dr. Lee aq 1:t0","what lecture do i have with dr. lee a 1:00",88,23
3,"What is the weather like in Miami","What is the weather like in Miami","what is the weather like in miami",100,22
3,"What temperature is it in Los Angeles","What temperature is it in Los Angeles","what temperature is it in los angeles",100,22
4,"Which lectures are there on Tuesday at 9:00","Which ltctures are there mn Tuesiay at 9:00","which lectures are there in tuesday at 9:00",97,37
